year,country,name,n
2008,Australia,Adelaide Thunderbirds,66.67
2008,Australia,Melbourne Vixens,80
2008,Australia,New South Wales Swifts,85.71
2008,Australia,Queensland Firebirds,60.00
2008,Australia,West Coast Fever,60.00
2008,New Zealand,Canterbury Tactix,20.00
2008,New Zealand,Central Pulse,0
2008,New Zealand,Northern Mystics,0
2008,New Zealand,Southern Steel,60.00
2008,New Zealand,Waikato Bay of Plenty Magic,50
2009,Australia,Adelaide Thunderbirds,85.71
2009,Australia,Melbourne Vixens,83.33
2009,Australia,New South Wales Swifts,40
2009,Australia,Queensland Firebirds,80
2009,Australia,West Coast Fever,60
2009,New Zealand,Canterbury Tactix,40
2009,New Zealand,Central Pulse,20
2009,New Zealand,Northern Mystics,0
2009,New Zealand,Southern Steel,33.33
2009,New Zealand,Waikato Bay of Plenty Magic,42.86
2010,Australia,Adelaide Thunderbirds,66.67
2010,Australia,Melbourne Vixens,66.67
2010,Australia,New South Wales Swifts,83.33
2010,Australia,Queensland Firebirds,100
2010,Australia,West Coast Fever,40
2010,New Zealand,Canterbury Tactix,0
2010,New Zealand,Central Pulse,0
2010,New Zealand,Northern Mystics,40
2010,New Zealand,Southern Steel,40
2010,New Zealand,Waikato Bay of Plenty Magic,42.86
2011,Australia,Adelaide Thunderbirds,60
2011,Australia,Melbourne Vixens,60
2011,Australia,New South Wales Swifts,83.33
2011,Australia,Queensland Firebirds,100
2011,Australia,West Coast Fever,40
2011,New Zealand,Canterbury Tactix,0
2011,New Zealand,Central Pulse,20
2011,New Zealand,Northern Mystics,42.86
2011,New Zealand,Southern Steel,20
2011,New Zealand,Waikato Bay of Plenty Magic,50
2012,Australia,Adelaide Thunderbirds,50
2012,Australia,Melbourne Vixens,71.43
2012,Australia,New South Wales Swifts,60
2012,Australia,Queensland Firebirds,80
2012,Australia,West Coast Fever,60
2012,New Zealand,Canterbury Tactix,20
2012,New Zealand,Central Pulse,20
2012,New Zealand,Northern Mystics,50
2012,New Zealand,Southern Steel,0
2012,New Zealand,Waikato Bay of Plenty Magic,71.43
2013,Australia,Adelaide Thunderbirds,100
2013,Australia,Melbourne Vixens,80
2013,Australia,New South Wales Swifts,40
2013,Australia,Queensland Firebirds,83.33
2013,Australia,West Coast Fever,80
2013,New Zealand,Canterbury Tactix,0
2013,New Zealand,Central Pulse,40
2013,New Zealand,Northern Mystics,0
2013,New Zealand,Southern Steel,20
2013,New Zealand,Waikato Bay of Plenty Magic,50
